,max,average
0,5233.011667,503.7499923613889
1,4161.791667,610.1032152810417
2,2684.87,570.5293518506944
3,8218.373333,685.056386573125
4,2759.678333,567.8544131947222
5,5529.48,533.0941307871528
6,6541.201667,722.4679131902083
7,4618.52,948.753859955139
8,767.3883333,173.72313310159723
9,0.0,0.0
10,0.0,0.0
11,2333.8,234.83377430597224
12,7158.043333,571.4861805560416
13,3506.71,552.0441006977779
14,5859.201667,628.4379421272222
15,2636.435,469.1919483796528
16,2862.886667,510.9673078716666
17,2442.863333,516.6094687503472
18,3290.115,563.7701226852778
19,3334.551667,590.9902193298611
20,5881.536667,838.8049687463889
21,4499.881667,771.0205138849304
22,4856.265,711.2028368013889
23,6000.605,781.1562326360416
24,4849.573333,588.0088645827777
25,3225.031667,585.9245300905555
26,6241.185,810.0055682876389
27,9207.661667,1209.8324374992362
28,4500.308333,626.5243275449305
29,7887.19,766.52151852125
30,6106.406667,832.110179397639
31,7258.595,1141.8882812488196
32,8823.775,1685.6068900415275
33,7990.491667,1484.6922083340974
34,7331.0,972.9174444454861
35,5529.768333,691.2498067134723
36,4477.5,678.9928101803472
37,5561.391667,739.3797141215279
38,2569.125,537.2885185184722
39,3393.135,620.2296192090279
40,3461.236667,567.4073669003471
41,5489.148333,687.0306944466666
42,5255.273333,732.0191053237501
43,7380.313333,1348.1761875067361
44,6965.28,1260.0507314822223
45,6768.296667,844.6614687496528
46,6441.613333,793.1633402788193
47,8308.646667,1272.9131608770138
48,9620.053333,1717.5426562502776
49,7413.653333,1258.6902974550694
50,7421.046667,1075.5782094821527
51,8566.538333,1610.3782800950696
52,7666.93,298.58671805333336
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,10079.1,1291.0895428277777
70,7582.675,1030.3600671249305
71,11834.41333,1401.8014108683333
72,13794.16667,1575.478596066736
73,8786.111667,1646.3759148204165
74,8730.633333,1707.277071757639
75,8635.508333,1736.0718726927082
76,9782.095,2156.112898133333
77,9846.493333,2128.976655088959
78,9918.26,1908.9037743027777
79,9930.475,1853.2555266147224
80,8658.221667,1685.632293980764
81,7961.913333,1580.992032409861
82,8370.645,1842.053065967083
83,9082.271667,1299.6492986120834
84,12004.335,1740.2623344981944
85,9682.516667,1804.7881284714585
86,8757.628333,1838.4119537036809
87,9481.716667,1944.0729884279167
88,9348.23,1810.1795572903472
89,8517.496667,2222.791547459722
90,9628.856667,2190.5860335655557
91,9394.076667,2387.8308020908335
92,8553.63,2212.784542828264
93,9843.636667,2339.7768831085414
94,8809.221667,2260.709703704097
95,9582.833333,2308.7023437500693
96,10672.02333,1931.4275833336806
97,9332.033333,1797.8552627338192
98,11008.61167,2336.738268514931
99,11494.745,2749.614025452292
100,9750.956667,2637.1870555573614
101,10164.705,2725.684751157083
102,11821.555,2878.044697918264
103,15394.09333,3244.99809375507
104,9283.443333,2760.373204864722
105,12272.99667,2891.8255567346523
106,10859.18333,2724.939598392292
107,9716.875,2633.3843911945137
108,8648.3,2513.1861863404165
109,10424.63833,2689.465822911944
110,9531.718333,2367.3182511606938
111,8545.693333,2203.3057280070834
112,9649.951667,2353.4032905071526
113,13563.56,2621.8941539416664
114,8901.915,2520.6406840361806
115,8726.035,2363.416322914236
116,9366.028333,2368.800988419583
117,8774.198333,1910.3720995297222
118,7923.435,1498.9897361136805
119,9734.83,1909.8273564883334
120,9841.861667,2539.9305648134027
121,11671.245,2041.9458391155556
122,9294.498333,1807.1218449064581
123,8875.076667,2057.647415517083
124,8952.985,1920.1440405059027
125,9614.72,2023.7136342542362
126,9308.061667,2010.9569178250697
127,12274.96833,2410.7279351844445
128,9119.545,2542.4949652855557
129,12137.76833,2716.46657405743
130,11251.36333,2997.8593391197915
131,9473.835,2517.3539479084725
132,9258.935,2741.0276458329167
133,10194.90167,2786.2337928350694
134,14819.385,3027.9253275371525
135,9528.716667,2912.776018525347
136,10561.22667,3026.3761134273605
137,9923.391667,3094.5556805607644
138,9417.12,1735.6847534770832
139,8303.281667,1768.6976655160418
140,7995.968333,1513.1066874979863
141,8627.906667,1729.1493171297916
142,11854.10333,1904.8103541609025
143,9128.971667,2150.074074074514
144,11273.58833,2530.3765972222222
145,8335.473333,2024.9557627372224
146,8983.22,2219.374645827778
147,8249.245,2014.6831574034723
148,9441.961667,1867.512182870139
149,10442.69833,2636.2286099499997
150,10585.34167,2878.81642593118
151,12066.44667,2668.8920567074306
152,8951.076667,2358.672872685903
153,8598.043333,1897.0941319414583
154,7571.288333,1181.3731215255555
155,8091.12,1192.3502175918056
156,10701.26,1548.5425081109026
157,8312.516667,1807.4124502357638
158,8610.743333,1717.617706013125
159,8865.983333,2342.0119675890974
160,8208.825,1912.476608802778
161,7047.461667,1121.0691724506944
162,4236.165,634.3694421322917
163,7331.128333,729.3686238401389
164,10194.12833,1285.5571134291667
165,7991.24,1427.1891643497916
166,8325.363333,1269.3052986154169
167,8044.478333,1344.8284039322918
168,9088.395,1504.3393611099998
169,7968.831667,1433.5169606489583
170,7547.833333,1231.6480821790972
171,7412.051667,1049.8823425951389
172,7624.456667,1105.1316018480554
173,7573.561667,924.3759999985418
174,4452.618333,678.743912036111
175,7463.963333,746.6725428252083
176,5994.053333,665.1013611091666
177,7549.06,824.7940486114583
178,8620.69,1217.4379131879168
179,9485.548333,1786.9665972163195
180,6049.381667,636.0449826390973
181,2140.495,520.0996527784722
182,6152.895,687.3763506978472
