temp,cloudcover,energy
60.6,19.5,2172
64.5,68.7,387
54.2,95.3,441
44.3,96.9,338
55.3,89.3,804
65.6,63.4,702
75.9,34,1872
81.4,20.6,2003
70.8,30.5,30
64.9,12.3,3036
64,62.8,1725
69.9,43.2,1811
47.8,28.5,2007
49,54.8,2112
51.7,5.6,472
61.4,3.3,1042
58.3,61.5,1411
56.4,52.4,1774
69.5,66.5,1878
64.5,39.6,1238
73.2,33.9,1957
74.8,55,2109
71.8,7,1668
75.4,10.7,1930
68,11.7,1897
68.9,16.6,1858
74.4,20.1,2287
77.9,46.6,2159
71.6,20.7,2178
68.6,7.1,2100
74.8,17.9,1993
76.5,18.2,2123
79.8,18.6,1827
81.2,23.9,2141
73.5,42.7,1952
70.3,6.8,1537
72.8,30.4,1872
68.5,57.5,1624
63.1,24.4,1920
65.8,10.6,1014
69.3,19.1,1278
71.1,60.9,1900
74.4,60.9,1191
79.9,44.2,150
76.8,63.8,1461
65.3,76.4,2028
73.9,29,1990
77,7.9,1230
81.3,7.5,1450
75.2,65.4,1742
77.9,63.1,49
82.6,37.1,5008
78.9,41.8,2078
76.7,48.1,1994
67.7,59.9,1925
68.6,44.4,1917
72.8,18,2019
75.9,26.9,1758
77.7,9.2,1736
77,9.4,2013
77.3,20.2,2002
78.2,24,1759
81.2,33.1,1914
83.4,8,909
84.9,13,1905
86.6,18.5,640
86.6,9.1,1876
85.7,14.8,1829
87.2,12.8,1898
88.4,11.6,1772
77.8,3.2,1269
79.3,3.9,2046
79.9,15,1764
81.8,7,1854
82,4.4,1446
84.2,14.9,1809
84.9,17.1,1823
84.7,8.5,1570
84.1,15.2,1294
83.6,38.3,1768
77.5,38.7,1791
79.4,29.8,1966
80.9,32.6,1670
76.8,56.8,1886
81,24.4,1915
81.7,43.4,1865
82.4,39.1,1916
83.8,41.3,1639
83.5,44.4,1912
85.7,48.3,1829
85.8,45.3,1904
86.5,38.9,1904
84,37.9,1833
86.4,12.4,1509
85.9,12.8,1790
84.8,22.1,1692
80.9,35.2,1748
80,35.8,1290
84.6,29.9,1465
87.3,13.1,1348
86.4,17.5,356
88.4,6.1,1269
89.4,17.8,1951
91.8,11.5,1748
89.7,12,1936
87.6,20.2,1914
87.9,15.8,1933
88.3,9.2,1789
86.1,16,1265
87,10.3,1884
87.3,13,1892
83.3,34.8,1902
85.3,32.6,1823
87,20.7,1884
87.9,21.7,1857
84.6,46.3,1873
84.4,52.3,1895
83.2,50.2,1822
79.4,36.5,1823
84.6,26.9,1672
87.4,13.3,1309
83,29.1,1944
82.1,14.4,1953
84,9.1,1956
83.6,20.2,1873
84,10.9,1851
83.3,26.5,1730
86.1,16.9,1882
88.7,12.8,1629
88.5,4.6,1205
89.1,6.1,1564
89,4.6,1809
89.8,10.2,1768
91.6,8.9,1372
91.8,5.1,1450
92.7,8.4,851
92.1,13.8,772
89.3,27.6,850
82.1,21.1,1230
85.9,10.1,1330
82.2,12.3,1757
82,4.9,1690
83,9.5,1744
84.7,14.3,431
84.9,7.1,466
85.7,14.3,1398
86.5,21.3,1607
84.3,28.5,1545
82.7,25.5,1686
89.9,12,1381
90.8,18,924
86.5,34.7,1444
90,27.4,1582
82.8,55.9,1653
74.9,47.7,1745
76.4,58,579
78.6,46.1,420
79.1,27.3,511
80.1,26.8,1074
83.9,15.7,1893
82.3,20.6,1884
74.7,59,1495
62.1,96,1743
70.5,64.3,1938
76.9,19.2,1830
78.8,24.1,0